run_id,signal_index,log_time,trigger_ticker_id,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,request_send_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
20260601_105424_lab_usdt_200usdt_private_1h,39,2026-06-01 11:14:49.259009371,10678563545468,kBinance,15,1780312489258000000,7511543399472894,1780312489259007779,1780312489259008745,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,13.84328,288230376151711783,40,1780312489259020283,1772800945859534885,966,11538,1772800945859547389,281193503314453523,entry,32,kEntrySubmit,kLong,13.84338,1e-05,10,0.1,kCancelled,0,0,,507653,1780312489261839633,
20260601_105424_lab_usdt_200usdt_private_1h,40,2026-06-01 11:19:49.381235278,10678592358578,kBinance,15,1780312789380000000,7511843521697463,1780312789381232897,1780312789381234534,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,14.18981,288230376151711784,41,1780312789381244606,1772800945859535434,1637,10072,1772800945859547143,281193503314954692,entry,33,kEntrySubmit,kShort,14.18971,1e-05,10,0.1,kCancelled,0,0,,14396432,1780312789411260203,
20260601_105424_lab_usdt_200usdt_private_1h,41,2026-06-01 11:22:41.201814463,10678610911753,kBinance,15,1780312961200000000,7512015342277892,1780312961201813104,1780312961201814208,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.44036,288230376151711785,42,1780312961201824273,1772800945859535212,1104,10065,1772800945859546381,281193503315270590,entry,34,kEntrySubmit,kShort,13.44026,1e-05,10,0.1,kCancelled,0,0,,535033,1780312961253274509,
20260601_105424_lab_usdt_200usdt_private_1h,42,2026-06-01 11:24:15.174642761,10678619899715,kBinance,15,1780313055173000000,7512109315106316,1780313055174641202,1780313055174642098,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.88018,288230376151711786,43,1780313055174652527,1772800945859534886,896,10429,1772800945859546211,281193503315440186,entry,35,kEntrySubmit,kShort,13.88008,1e-05,10,0.1,kCancelled,0,0,,496726,1780313055177521103,
20260601_105424_lab_usdt_200usdt_private_1h,43,2026-06-01 11:25:44.027452121,10678627642615,kBinance,15,1780313144026000000,7512198167914666,1780313144027450180,1780313144027451851,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.83482,288230376151711787,44,1780313144027462400,1772800945859535514,1671,10549,1772800945859547734,281193503315554801,entry,36,kEntrySubmit,kShort,13.83472,1e-05,10,0.1,kCancelled,0,0,,520965,1780313144040650795,
20260601_105424_lab_usdt_200usdt_private_1h,44,2026-06-01 11:25:49.575947213,10678628084909,kBinance,15,1780313149575000000,7512203716410938,1780313149575946523,1780313149575946952,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.73607,288230376151711788,45,1780313149575953598,1772800945859535585,429,6646,1772800945859542660,281193503315565828,entry,37,kEntrySubmit,kShort,13.73597,1e-05,10,0.1,kCancelled,0,0,,550557,1780313149589156621,
20260601_105424_lab_usdt_200usdt_private_1h,45,2026-06-01 11:26:07.248030911,10678629326974,kBinance,15,1780313167247000000,7512221388494134,1780313167248029358,1780313167248030269,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.6087,288230376151711789,46,1780313167248039178,1772800945859535224,911,8909,1772800945859545044,281193503315596968,entry,38,kEntrySubmit,kShort,13.6086,1e-05,10,0.1,kCancelled,0,0,,576675,1780313167253008477,
20260601_105424_lab_usdt_200usdt_private_1h,46,2026-06-01 11:26:13.101485936,10678630105300,kBinance,15,1780313173101000000,7512227241949543,1780313173101484568,1780313173101485291,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.67718,288230376151711790,47,1780313173101491371,1772800945859535025,723,6080,1772800945859541828,281193503315605968,entry,39,kEntrySubmit,kShort,13.67708,1e-05,10,0.1,kCancelled,0,0,,516668,1780313173106880364,
20260601_105424_lab_usdt_200usdt_private_1h,47,2026-06-01 11:30:13.076472192,10678650588692,kBinance,15,1780313413075000000,7512467216934313,1780313413076469673,1780313413076470857,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,13.6875,288230376151711791,48,1780313413076480898,1772800945859535360,1184,10041,1772800945859546585,281193503315951362,entry,40,kEntrySubmit,kLong,13.6876,1e-05,10,0.1,kCancelled,0,0,,4842202,1780313413084832048,
20260601_105424_lab_usdt_200usdt_private_1h,48,2026-06-01 11:30:14.756037509,10678650720404,kBinance,15,1780313414755000000,7512468896501482,1780313414756036886,1780313414756037350,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,13.74331,288230376151711792,49,1780313414756043075,1772800945859535404,464,5725,1772800945859541593,281193503315956230,entry,41,kEntrySubmit,kLong,13.74341,1e-05,10,0.1,kCancelled,0,0,,564960,1780313414759510260,
20260601_105424_lab_usdt_200usdt_private_1h,49,2026-06-01 11:30:29.101024391,10678652231032,kBinance,15,1780313429100000000,7512483241488506,1780313429101023348,1780313429101023828,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,13.46,288230376151711793,50,1780313429101031661,1772800945859534842,480,7833,1772800945859543155,281193503315991547,entry,42,kEntrySubmit,kLong,13.4601,1e-05,10,0.1,kCancelled,0,0,,605044,1780313429103456688,
20260601_105424_lab_usdt_200usdt_private_1h,50,2026-06-01 11:34:06.209651763,10678673846666,kBinance,15,1780313646209000000,7512700350114574,1780313646209650037,1780313646209650871,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,12.9523,288230376151711794,51,1780313646209662839,1772800945859535463,834,11968,1772800945859548265,281193503316425871,entry,43,kEntrySubmit,kShort,12.9522,1e-05,10,0.1,kCancelled,0,0,,509996,1780313646216818065,
20260601_105424_lab_usdt_200usdt_private_1h,51,2026-06-01 11:34:19.749518410,10678675513775,kBinance,15,1780313659748000000,7512713889981380,1780313659749516906,1780313659749517765,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.40116,288230376151711795,52,1780313659749526004,1772800945859535526,859,8239,1772800945859544624,281193503316464221,entry,44,kEntrySubmit,kShort,13.40106,1e-05,10,0.1,kCancelled,0,0,,583476,1780313659758947359,
20260601_105424_lab_usdt_200usdt_private_1h,52,2026-06-01 11:34:20.856067242,10678675713387,kBinance,15,1780313660855000000,7512714996530875,1780313660856066513,1780313660856067082,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.38806,288230376151711796,53,1780313660856071969,1772800945859535638,569,4887,1772800945859541094,281193503316466679,entry,45,kEntrySubmit,kShort,13.38796,1e-05,10,0.1,kCancelled,0,0,,580497,1780313660862069621,
20260601_105424_lab_usdt_200usdt_private_1h,53,2026-06-01 11:34:22.727119048,10678675865763,kBinance,15,1780313662726000000,7512716867583651,1780313662727118413,1780313662727118997,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.39591,288230376151711797,54,1780313662727121310,1772800945859534762,584,2313,1772800945859537659,281193503316470884,entry,46,kEntrySubmit,kShort,13.39581,1e-05,10,0.1,kCancelled,0,0,,563668,1780313662728723699,
20260601_105424_lab_usdt_200usdt_private_1h,54,2026-06-01 11:34:29.267393710,10678676420077,kBinance,15,1780313669267000000,7512723407857400,1780313669267392858,1780313669267393374,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.46652,288230376151711798,55,1780313669267397537,1772800945859535458,516,4163,1772800945859540137,281193503316484960,entry,47,kEntrySubmit,kShort,13.46642,1e-05,10,0.1,kCancelled,0,0,,560548,1780313669269600475,
20260601_105424_lab_usdt_200usdt_private_1h,55,2026-06-01 11:37:07.450117150,10678691856320,kBinance,15,1780313827449000000,7512881590580461,1780313827450115864,1780313827450116622,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,12.99002,288230376151711799,56,1780313827450126520,1772800945859535403,758,9898,1772800945859546059,281193503316763730,entry,48,kEntrySubmit,kLong,12.99012,1e-05,10,0.1,kCancelled,0,0,,536671,1780313827484503945,
20260601_105424_lab_usdt_200usdt_private_1h,56,2026-06-01 11:38:02.406243629,10678697081542,kBinance,15,1780313882405000000,7512936546706589,1780313882406242107,1780313882406243002,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.1785,288230376151711800,57,1780313882406252756,1772800945859535518,895,9754,1772800945859546167,281193503316845155,entry,49,kEntrySubmit,kShort,13.1784,1e-05,10,0.1,kCancelled,0,0,,535784,1780313882412770884,
20260601_105424_lab_usdt_200usdt_private_1h,57,2026-06-01 11:43:09.851771543,10678728336816,kBinance,15,1780314189851000000,7513243992234498,1780314189851770133,1780314189851771059,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,13.08489,288230376151711801,58,1780314189851781888,1772800945859535635,926,10829,1772800945859547390,281193503317246668,entry,50,kEntrySubmit,kLong,13.08499,1e-05,10,0.1,kCancelled,0,0,,4187919,1780314189861035828,
20260601_105424_lab_usdt_200usdt_private_1h,58,2026-06-01 11:44:23.097014693,10678734407224,kBinance,15,1780314263096000000,7513317237478162,1780314263097013013,1780314263097014124,LAB_USDT,15,kLead,kOpenShort,kSell,false,0,13.00051,288230376151711802,59,1780314263097024379,1772800945859534851,1111,10255,1772800945859546217,281193503317357391,entry,51,kEntrySubmit,kShort,13.00041,1e-05,10,0.1,kCancelled,0,0,,636473,1780314263103854502,
20260601_105424_lab_usdt_200usdt_private_1h,59,2026-06-01 11:44:42.994384737,10678735825432,kBinance,15,1780314282993000000,7513337134848514,1780314282994383552,1780314282994384056,LAB_USDT,15,kLead,kOpenLong,kBuy,false,0,12.92013,288230376151711803,60,1780314282994394057,1772800945859535038,504,10001,1772800945859545543,281193503317392383,entry,52,kEntrySubmit,kLong,12.92023,1e-05,10,0.1,kCancelled,0,0,,563547,1780314282999729079,
