sample_type,local_order_id,request_sequence,action,side,status,raw_price,order_price,reference_order_price,entry_buffer_pct,price_tick,quantity,cumulative_filled_quantity,signal_lag_id,terminal_lag_id,x_in_ns,x_out_ns,signal_to_x_in_us,signal_to_x_out_us,lead_quote_latency_ns,lag_quote_latency_ns,lead_freshness_ns,lag_freshness_ns,quote_latency_threshold_would_block,quote_latency_threshold_block_reason,runtime_freshness_threshold_would_block,runtime_freshness_threshold_block_reason,signal_book_ticker_id,signal_exchange_ns,signal_contra_price,signal_contra_volume,signal_raw_any,signal_raw_margin_ticks,signal_order_any,signal_order_margin_ticks,signal_reference_any,signal_reference_margin_ticks,x_in_book_ticker_id,x_in_exchange_ns,x_in_contra_price,x_in_contra_volume,x_in_raw_any,x_in_raw_margin_ticks,x_in_order_any,x_in_order_margin_ticks,x_in_reference_any,x_in_reference_margin_ticks,x_out_book_ticker_id,x_out_exchange_ns,x_out_contra_price,x_out_contra_volume,x_out_raw_any,x_out_raw_margin_ticks,x_out_order_any,x_out_order_margin_ticks,x_out_reference_any,x_out_reference_margin_ticks,raw_lifetime_valid,raw_lifetime_any,raw_lifetime_records,raw_lifetime_marketable_records,raw_last_marketable_id,raw_last_marketable_exchange_ns,raw_lifetime_us,order_lifetime_valid,order_lifetime_any,order_lifetime_records,order_lifetime_marketable_records,order_last_marketable_id,order_last_marketable_exchange_ns,order_lifetime_us,reference_lifetime_valid,reference_lifetime_any,reference_lifetime_records,reference_lifetime_marketable_records,reference_last_marketable_id,reference_last_marketable_exchange_ns,reference_lifetime_us
cancel_open_no_fill,288230376151712086,343,kOpenLong,kBuy,kCancelled,0.3449,0.34494,0.34828,0.00979117687733,1e-05,28,0,2252531107,2252531248,1781875787575620096,1781875787575774976,640.096,794.976,1395200,218880,1396266,416266,false,-,false,-,2252531107,1781875787574980000,0.3449,425,false,-5.55111512313e-12,true,4,true,338,2252531107,1781875787574980000,0.3449,425,false,-5.55111512313e-12,true,4,true,338,2252531107,1781875787574980000,0.3449,425,false,-5.55111512313e-12,true,4,true,338,true,false,4,,,,,true,true,4,1,2252531107,1781875787574980000,0,true,true,4,4,2252531248,1781875787578044000,3064
cancel_open_no_fill,288230376151712088,345,kOpenLong,kBuy,kCancelled,0.3457,0.34574,0.34909,0.00979117687733,1e-05,28,0,2252536952,2252537105,1781875824326206976,1781875824326356992,1853.976,2003.992,994048,192000,995083,1642083,true,freshness_lag,false,-,2252536952,1781875824324353000,0.3457,135,true,0,true,4,true,339,2252536952,1781875824324353000,0.3457,135,true,0,true,4,true,339,2252536952,1781875824324353000,0.3457,135,true,0,true,4,true,339,true,true,3,1,2252536952,1781875824324353000,0,true,true,3,1,2252536952,1781875824324353000,0,true,true,3,3,2252537105,1781875824327440000,3087
cancel_open_no_fill,288230376151712112,369,kOpenShort,kSell,kCancelled,0.34541,0.34537,0.34202,0.00979117687733,1e-05,28,0,2252637937,2252638124,1781876376545474048,1781876376545587968,796.048,909.968,1258240,186112,1259642,581642,false,-,false,-,2252637937,1781876376544678000,0.34541,2542,true,5.55111512313e-12,true,4,true,339,2252637937,1781876376544678000,0.34541,2542,true,5.55111512313e-12,true,4,true,339,2252637937,1781876376544678000,0.34541,2542,true,5.55111512313e-12,true,4,true,339,true,true,5,3,2252637989,1781876376546678000,2000,true,true,5,3,2252637989,1781876376546678000,2000,true,true,5,5,2252638124,1781876376548706000,4028
cancel_open_no_fill,288230376151712114,371,kOpenLong,kBuy,kCancelled,0.34508,0.34512,0.34846,0.00979117687733,1e-05,28,0,2252717817,2252717926,1781876653357830912,1781876653358064128,2741.912,2975.128,1483264,233216,1484484,2395484,true,freshness_lag,false,-,2252717817,1781876653355089000,0.34508,27,false,-5.55111512313e-12,true,3.99999999999,true,338,2252717817,1781876653355089000,0.34508,27,false,-5.55111512313e-12,true,3.99999999999,true,338,2252717817,1781876653355089000,0.34508,27,false,-5.55111512313e-12,true,3.99999999999,true,338,true,false,3,,,,,true,true,3,1,2252717817,1781876653355089000,0,true,true,3,3,2252717926,1781876653375630000,20541
cancel_open_no_fill,288230376151712115,372,kOpenLong,kBuy,kCancelled,0.34561,0.34565,0.349,0.00979117687733,1e-05,28,0,2252717972,2252718140,1781876653377705984,1781876653377978112,1177.984,1450.112,1480192,260608,1481266,953266,false,-,false,-,2252717972,1781876653376528000,0.34561,8,false,-5.55111512313e-12,true,4,true,339,2252718004,1781876653377669000,0.34561,8,false,-5.55111512313e-12,true,4,true,339,2252718004,1781876653377669000,0.34561,8,false,-5.55111512313e-12,true,4,true,339,true,false,8,,,,,true,true,8,2,2252718004,1781876653377669000,1141,true,true,8,8,2252718140,1781876653390820000,14292
cancel_open_no_fill,288230376151712139,396,kOpenLong,kBuy,kCancelled,0.3519,0.35194,0.35535,0.00979117687733,1e-05,28,0,2252778488,2252778581,1781876898398906880,1781876898399075072,4543.88,4712.072,1670400,284672,1671379,4308379,true,freshness_lag,false,-,2252778488,1781876898394363000,0.3519,24,false,-5.55111512313e-12,true,3.99999999999,true,345,2252778488,1781876898394363000,0.3519,24,false,-5.55111512313e-12,true,3.99999999999,true,345,2252778488,1781876898394363000,0.3519,24,false,-5.55111512313e-12,true,3.99999999999,true,345,true,false,8,,,,,true,true,8,1,2252778488,1781876898394363000,0,true,true,8,8,2252778581,1781876898427986000,33623
cancel_open_no_fill,288230376151712141,398,kOpenShort,kSell,kCancelled,0.34259,0.34255,0.33923,0.00979117687733,1e-05,29,0,2252808187,2252808365,1781876992057540096,1781876992057838080,3593.096,3891.08,1315840,231424,1317316,3370316,true,freshness_lag,false,-,2252808187,1781876992053947000,0.34259,40,true,0,true,4,true,336,2252808206,1781876992057088000,0.34258,1971,false,-0.999999999995,true,3,true,335,2252808206,1781876992057088000,0.34258,1971,false,-0.999999999995,true,3,true,335,true,true,4,1,2252808187,1781876992053947000,0,true,true,4,2,2252808206,1781876992057088000,3141,true,true,4,4,2252808365,1781876992059300000,5353
cancel_open_no_fill,288230376151712142,399,kOpenShort,kSell,kCancelled,0.34253,0.34249,0.33917,0.00979117687733,1e-05,29,0,2252809422,2252809422,1781876992099226880,1781876992099341056,1149.88,1264.056,1023744,189696,1024459,947459,false,-,false,-,2252809422,1781876992098077000,0.34253,9,true,0,true,4,true,336,2252809422,1781876992098077000,0.34253,9,true,0,true,4,true,336,2252809422,1781876992098077000,0.34253,9,true,0,true,4,true,336,true,true,1,1,2252809422,1781876992098077000,0,true,true,1,1,2252809422,1781876992098077000,0,true,true,1,1,2252809422,1781876992098077000,0
cancel_open_no_fill,288230376151712143,400,kOpenShort,kSell,kCancelled,0.34257,0.34253,0.33921,0.00979117687733,1e-05,29,0,2252809498,2252809547,1781876992103706112,1781876992103866112,868.112,1028.112,1502464,239616,1503634,665634,false,-,false,-,2252809498,1781876992102838000,0.34257,533,true,5.55111512313e-12,true,4,true,336,2252809498,1781876992102838000,0.34257,533,true,5.55111512313e-12,true,4,true,336,2252809536,1781876992103829000,0.34197,18,false,-60,false,-56,true,276,true,true,3,1,2252809498,1781876992102838000,0,true,true,3,1,2252809498,1781876992102838000,0,true,true,3,3,2252809547,1781876992104865000,2027
cancel_open_no_fill,288230376151712144,401,kOpenShort,kSell,kCancelled,0.34241,0.34237,0.33905,0.00979117687733,1e-05,29,0,2252813598,2252813625,1781876994038158080,1781876994038297088,1248.08,1387.088,947712,240896,948867,1038867,true,freshness_lag,false,-,2252813598,1781876994036910000,0.34241,8,true,5.55111512313e-12,true,4,true,336,2252813611,1781876994037979000,0.34208,59,false,-33,false,-29,true,303,2252813611,1781876994037979000,0.34208,59,false,-33,false,-29,true,303,true,true,3,1,2252813598,1781876994036910000,0,true,true,3,1,2252813598,1781876994036910000,0,true,true,3,3,2252813625,1781876994038993000,2083
