local_order_id,request_sequence,side,action,order_price,signal_lag_id,ack_lag_id,accepted_lag_id,cancelled_lag_id,canonical_category,canonical_signal_marketable,canonical_ack_marketable,canonical_accepted_marketable,canonical_cancelled_marketable,canonical_after_ack_market_records,source_count,source_signal_found_count,source_ack_found_count,source_accepted_found_count,source_cancelled_found_count,source_signal_marketable_count,source_ack_marketable_count,source_accepted_marketable_count,source_cancelled_marketable_count,source_after_ack_marketable_count,source_after_accepted_marketable_count,source_names_cancelled_marketable,source_names_after_ack_marketable,source0_ack_marketable,source0_accepted_marketable,source0_cancelled_marketable,source0_after_ack_market_records,source0_after_accepted_market_records,source1_ack_marketable,source1_accepted_marketable,source1_cancelled_marketable,source1_after_ack_market_records,source1_after_accepted_market_records,source2_ack_marketable,source2_accepted_marketable,source2_cancelled_marketable,source2_after_ack_market_records,source2_after_accepted_market_records,source3_ack_marketable,source3_accepted_marketable,source3_cancelled_marketable,source3_after_ack_market_records,source3_after_accepted_market_records
288230376151712152,409,kBuy,kOpenLong,0.34267,2252851590,2252851590,2252851720,2252851720,marketable_after_ack_before_cancelled,true,true,false,false,16,4,4,4,4,4,4,4,0,0,4,0,,source0;source1;source2;source3,true,false,false,16,0,true,false,false,15,0,true,false,false,16,0,true,false,false,16,0
288230376151712176,433,kBuy,kOpenLong,0.34592,2252905550,2252905551,2252905569,2252905569,marketable_at_cancelled_stage,true,true,true,true,1,4,4,4,4,4,4,4,4,4,4,0,source0;source1;source2;source3,source0;source1;source2;source3,true,true,true,1,0,true,true,true,1,0,true,true,true,1,0,true,true,true,1,0
288230376151712187,444,kSell,kOpenShort,0.35555,2253196650,2253196690,2253196690,2253196690,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712208,465,kSell,kOpenShort,0.34683,2253409671,2253409690,2253409729,2253409729,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712212,469,kSell,kOpenShort,0.35261,2253427934,2253427934,,2253428069,marketable_after_ack_before_cancelled,true,true,false,false,2,4,4,4,0,4,4,4,0,0,4,0,,source0;source1;source2;source3,true,false,false,2,0,true,false,false,2,0,true,false,false,2,0,true,false,false,2,0
288230376151712220,477,kSell,kOpenShort,0.35443,2253510610,2253510615,2253510729,2253510729,marketable_after_ack_before_cancelled,true,true,false,false,1,4,4,4,4,4,4,4,0,0,4,0,,source0;source1;source2;source3,true,false,false,1,0,true,false,false,1,0,true,false,false,1,0,true,false,false,1,0
288230376151712226,483,kSell,kOpenShort,0.35484,2253526197,2253526221,,2253526255,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,0,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712227,484,kBuy,kOpenLong,0.35531,2253528353,2253528353,,2253528353,marketable_at_cancelled_stage,true,true,false,true,0,4,4,4,0,4,4,4,0,4,0,0,source0;source1;source2;source3,,true,false,true,0,0,true,false,true,0,0,true,false,true,0,0,true,false,true,0,0
288230376151712228,485,kBuy,kOpenLong,0.35531,2253528353,2253528387,2253528491,2253528491,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712230,487,kBuy,kOpenLong,0.35546,2253537563,2253537563,2253537736,2253537774,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712243,500,kSell,kOpenShort,0.35382,2253606578,2253606578,2253606589,2253606598,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712247,504,kBuy,kOpenLong,0.35618,2253631138,2253631140,2253631481,2253631481,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712251,508,kSell,kOpenShort,0.35791,2253678543,2253678562,2253678562,2253678574,marketable_at_accepted_stage_only,true,true,true,false,0,4,4,4,4,4,4,4,4,0,0,0,,,true,true,false,0,0,true,true,false,0,0,true,true,false,0,0,true,true,false,0,0
288230376151712261,518,kSell,kOpenShort,0.3617,2253787854,2253787948,2253787970,2253787970,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712263,520,kSell,kOpenShort,0.36034,2253798807,2253798832,2253798868,2253798868,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712264,521,kBuy,kOpenLong,0.36116,2253801423,2253801423,2253801480,2253801576,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712265,522,kSell,kOpenShort,0.36149,2253801911,2253801928,2253801953,2253801953,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712271,528,kSell,kOpenShort,0.35566,2253912445,2253912489,2253912549,2253912623,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712276,533,kSell,kOpenShort,0.35734,2253992606,2253992647,2253992708,2253992947,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712283,540,kBuy,kOpenLong,0.36156,2254041541,2254041541,2254041629,2254041865,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
