exchange,symbol,exchange_symbol,tick_size,vol_30m_bps,vol_60m_bps,quote_volume_30m,quote_volume_60m,volume_30m,volume_60m,valid_30m,valid_60m,close_count,latest_closed_open_time_ms,reference_price
binance,AZTEC_USDT,AZTECUSDT,0.00001,93.871817,162.483508,162565.351260,291357.080530,7255502.000000,13016617.000000,true,true,120,1780455240000,0.022540
binance,A_USDT,AUSDT,0.00001,44.516824,83.131789,15512.914770,55626.262870,215790.000000,772747.000000,true,true,120,1780455240000,0.071910
binance,B2_USDT,B2USDT,0.0001,59.323462,78.224421,31949.258500,61903.204400,63044.000000,121912.000000,true,true,120,1780455240000,0.505300
binance,BABY_USDT,BABYUSDT,0.00001,96.128869,130.995175,133584.631020,200012.773520,9764873.000000,14618699.000000,true,true,120,1780455240000,0.013650
binance,BANANAS31_USDT,BANANAS31USDT,0.000001,63.664171,84.851027,57399.088310,96308.825174,5426619.000000,9079488.000000,true,true,120,1780455240000,0.010563
binance,BANANA_USDT,BANANAUSDT,0.001,41.838212,74.443132,19853.363600,38504.538500,5856.300000,11337.400000,true,true,120,1780455240000,3.390000
binance,BAND_USDT,BANDUSDT,0.0001,39.449478,92.443679,22091.606760,65075.349530,112502.800000,330635.400000,true,true,120,1780455240000,0.196500
binance,BANK_USDT,BANKUSDT,0.00001,48.230058,84.937565,10614.938610,34106.035730,306536.000000,986839.000000,true,true,120,1780455240000,0.034650
binance,BAN_USDT,BANUSDT,0.00001,80.682310,98.024800,22028.850530,43099.591040,282065.000000,553436.000000,true,true,120,1780455240000,0.078230
binance,BARD_USDT,BARDUSDT,0.0001,54.929470,95.099689,47625.855700,97141.206000,266961.000000,544440.000000,true,true,120,1780455240000,0.178200
binance,BASED_USDT,BASEDUSDT,0.00001,67.581716,142.110146,128753.044580,345135.056270,1932069.000000,5186622.000000,true,true,120,1780455240000,0.066410
binance,BAS_USDT,BASUSDT,0.000001,74.587463,108.029448,53400.731986,97745.225696,2259216.000000,4128949.000000,true,true,120,1780455240000,0.023651
binance,BAT_USDT,BATUSDT,0.0001,58.796146,98.746138,36557.052710,89566.375850,353632.200000,864287.700000,true,true,120,1780455240000,0.103300
binance,BB_USDT,BBUSDT,0.00001,62.724907,99.919128,26636.053810,59326.527020,1046242.000000,2325188.000000,true,true,120,1780455240000,0.025490
binance,BCH_USDT,BCHUSDT,0.01,67.895711,95.142143,1907554.313590,4645465.706850,7310.874000,17766.244000,true,true,120,1780455240000,261.710000
binance,BEAMX_USDT,BEAMXUSDT,0.000001,53.861069,85.311097,19095.339660,46761.393231,11960432.000000,29255431.000000,true,true,120,1780455240000,0.001598
binance,BEAT_USDT,BEATUSDT,0.0001,116.980684,163.821569,313977.416200,532827.485200,281556.000000,478623.000000,true,true,120,1780455240000,1.113400
binance,BEL_USDT,BELUSDT,0.0001,60.715047,92.912731,13831.144900,34635.062900,143995.000000,359686.000000,true,true,120,1780455240000,0.096200
binance,BERA_USDT,BERAUSDT,0.0001,61.033798,98.658776,350825.682470,593388.890480,1164239.600000,1970090.500000,true,true,120,1780455240000,0.300600
binance,BICO_USDT,BICOUSDT,0.00001,56.723596,96.202181,12065.065050,41306.466150,536081.000000,1830233.000000,true,true,120,1780455240000,0.022520
binance,BIGTIME_USDT,BIGTIMEUSDT,0.00001,48.983792,81.379812,21610.974410,58637.712000,2076036.000000,5623570.000000,true,true,120,1780455240000,0.010410
binance,BILL_USDT,BILLUSDT,0.00001,144.623727,208.616304,327445.982550,901303.412780,3908258.000000,10791184.000000,true,true,120,1780455240000,0.084050
binance,BIO_USDT,BIOUSDT,0.00001,113.058900,195.514459,738885.295680,1476019.016930,23122009.000000,45968350.000000,true,true,120,1780455240000,0.031880
binance,BIRB_USDT,BIRBUSDT,0.00001,78.989905,102.453799,44979.627770,69956.291470,511536.000000,794212.000000,true,true,120,1780455240000,0.088290
binance,BLESS_USDT,BLESSUSDT,0.000001,80.206415,146.545746,52895.280235,122132.490407,10502284.000000,24278407.000000,true,true,120,1780455240000,0.005039
binance,BLUAI_USDT,BLUAIUSDT,0.000001,157.901600,254.710282,127633.015666,320793.181433,9483606.000000,23631686.000000,true,true,120,1780455240000,0.013332
binance,BLUR_USDT,BLURUSDT,0.00001,49.300391,79.680543,20199.614260,56518.941570,1032385.000000,2881439.000000,true,true,120,1780455240000,0.019580
binance,BMT_USDT,BMTUSDT,0.00001,65.486632,92.748062,33705.110430,59576.197580,2290820.000000,4033829.000000,true,true,120,1780455240000,0.014710
binance,BNB_USDT,BNBUSDT,0.01,34.744866,53.578293,11616374.387400,19141013.033700,17979.680000,29574.240000,true,true,120,1780455240000,646.010000
binance,BNT_USDT,BNTUSDT,0.0001,49.674561,85.576339,11948.631000,31192.577300,39215.000000,102234.000000,true,true,120,1780455240000,0.305300
binance,BOME_USDT,BOMEUSDT,0.0000001,53.927643,80.340997,58694.103376,145840.674881,124370939.000000,308241840.000000,true,true,120,1780455240000,0.000472
binance,BRETT_USDT,BRETTUSDT,0.000001,67.327529,109.977709,16153.718325,64635.162290,2590553.000000,10350355.000000,true,true,120,1780455240000,0.006234
binance,BREV_USDT,BREVUSDT,0.0001,81.205538,128.123357,37297.343800,85909.260800,367921.000000,846920.000000,true,true,120,1780455240000,0.101800
binance,BROCCOLIF3B_USDT,BROCCOLIF3BUSDT,0.000001,57.734011,99.815280,8064.525100,22417.670175,1528863.000000,4247873.000000,true,true,120,1780455240000,0.005267
binance,BR_USDT,BRUSDT,0.00001,46.279727,76.714743,7246.827990,31081.527110,66434.000000,284097.000000,true,true,120,1780455240000,0.109150
binance,BSB_USDT,BSBUSDT,0.00001,144.461861,169.306678,497701.613200,811990.030950,1925626.000000,3151768.000000,true,true,120,1780455240000,0.258490
binance,BSV_USDT,BSVUSDT,0.01,33.068157,54.089138,10686.658000,35371.589000,753.600000,2490.000000,true,true,120,1780455240000,14.190000
binance,BTC_USDT,BTCUSDT,0.1,30.619802,54.934539,103629574.865800,266943275.897400,1553.742000,3997.964000,true,true,120,1780455240000,66675.100000
binance,BTR_USDT,BTRUSDT,0.00001,66.199658,98.346755,15855.030560,36340.031940,698680.000000,1604596.000000,true,true,120,1780455240000,0.022780
binance,BULLA_USDT,BULLAUSDT,0.000001,63.088519,102.067116,16763.715835,47476.499065,3203040.000000,9074365.000000,true,true,120,1780455240000,0.005226
binance,B_USDT,BUSDT,0.0001,37.435767,63.317674,23897.355400,66521.994000,103341.000000,286709.000000,true,true,120,1780455240000,0.231500
binance,C98_USDT,C98USDT,0.00001,81.923026,115.871585,22101.157140,44882.083960,1255525.000000,2545439.000000,true,true,120,1780455240000,0.017610
binance,CAKE_USDT,CAKEUSDT,0.0001,31.717896,54.322886,58220.531300,133790.986900,43888.000000,100678.000000,true,true,120,1780455240000,1.325100
binance,CARV_USDT,CARVUSDT,0.00001,54.115367,77.596352,12967.960030,22938.111310,275993.000000,488051.000000,true,true,120,1780455240000,0.047000
binance,CATI_USDT,CATIUSDT,0.00001,113.287901,147.409816,73488.754870,143592.427390,1481125.000000,2867493.000000,true,true,120,1780455240000,0.049480
