run_id,signal_index,log_time,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,lead_freshness_ns,lag_exchange_ns,lag_local_ns,lag_freshness_ns,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,request_send_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,957,2026-06-16 19:53:15.620156993,kBinance,461,1781639595619000000,1781639595620155952,1781639595620156636,1781639595620156934,1781639595619000000,1781639595620155952,1156934,1781639595459492000,1781639595459655394,160664934,WLD_USDT,461,kLead,kOpenLong,kBuy,false,0,0.6593,,,,684,298,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,958,2026-06-16 19:53:15.620644576,kBinance,461,1781639595619000000,1781639595620643575,1781639595620644241,1781639595620644515,1781639595619000000,1781639595620643575,1644515,1781639595459492000,1781639595459655394,161152515,WLD_USDT,461,kLead,kOpenLong,kBuy,false,0,0.6593,,,,666,274,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,959,2026-06-16 19:53:15.620645856,kBinance,461,1781639595619000000,1781639595620644121,1781639595620645604,1781639595620645796,1781639595619000000,1781639595620644121,1645796,1781639595459492000,1781639595459655394,161153796,WLD_USDT,461,kLead,kOpenLong,kBuy,false,0,0.6593,,,,1483,192,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,960,2026-06-16 19:53:15.622108010,kBinance,461,1781639595621000000,1781639595622107149,1781639595622107753,1781639595622107951,1781639595621000000,1781639595622107149,1107951,1781639595459492000,1781639595459655394,162615951,WLD_USDT,461,kLead,kOpenLong,kBuy,false,0,0.6593,,,,604,198,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,961,2026-06-16 19:53:15.626272902,kBinance,461,1781639595625000000,1781639595626272175,1781639595626272483,1781639595626272846,1781639595625000000,1781639595626272175,1272846,1781639595459492000,1781639595459655394,166780846,WLD_USDT,461,kLead,kOpenLong,kBuy,false,0,0.6593,,,,308,363,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,962,2026-06-16 19:53:15.629548622,kBinance,461,1781639595628000000,1781639595629547502,1781639595629548228,1781639595629548564,1781639595628000000,1781639595629547502,1548564,1781639595459492000,1781639595459655394,170056564,WLD_USDT,461,kLead,kOpenLong,kBuy,false,0,0.6593,,,,726,336,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,963,2026-06-16 19:53:15.629549990,kBinance,461,1781639595628000000,1781639595629548066,1781639595629549589,1781639595629549933,1781639595628000000,1781639595629548066,1549933,1781639595459492000,1781639595459655394,170057933,WLD_USDT,461,kLead,kOpenLong,kBuy,false,0,0.6593,,,,1523,344,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,964,2026-06-16 19:53:15.631204100,kBinance,461,1781639595630000000,1781639595631203258,1781639595631203866,1781639595631204044,1781639595630000000,1781639595631203258,1204044,1781639595459492000,1781639595459655394,171712044,WLD_USDT,461,kLead,kOpenLong,kBuy,false,0,0.6593,,,,608,178,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,965,2026-06-16 19:53:15.631544698,kBinance,461,1781639595630000000,1781639595631543803,1781639595631544309,1781639595631544642,1781639595630000000,1781639595631543803,1544642,1781639595459492000,1781639595459655394,172052642,WLD_USDT,461,kLead,kOpenLong,kBuy,false,0,0.6593,,,,506,333,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,966,2026-06-16 19:53:15.632481421,kBinance,461,1781639595631000000,1781639595632480846,1781639595632481157,1781639595632481366,1781639595631000000,1781639595632480846,1481366,1781639595459492000,1781639595459655394,172989366,WLD_USDT,461,kLead,kOpenLong,kBuy,false,0,0.6593,,,,311,209,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,967,2026-06-16 19:53:15.642184213,kBinance,461,1781639595641000000,1781639595642183338,1781639595642183904,1781639595642184159,1781639595641000000,1781639595642183338,1184159,1781639595459492000,1781639595459655394,182692159,WLD_USDT,461,kLead,kOpenLong,kBuy,false,0,0.6593,,,,566,255,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,968,2026-06-16 19:53:15.644155485,kBinance,461,1781639595643000000,1781639595644154825,1781639595644155107,1781639595644155431,1781639595643000000,1781639595644154825,1155431,1781639595459492000,1781639595459655394,184663431,WLD_USDT,461,kLead,kOpenLong,kBuy,false,0,0.6593,,,,282,324,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,969,2026-06-16 19:53:24.532605464,kBinance,211,1781639604531000000,1781639604532603116,1781639604532603927,1781639604532605093,1781639604531000000,1781639604532603116,1605093,1781639604531738000,1781639604531841877,867093,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.28431,288230376151712134,391,1781639604532618109,811,1166,13016,14993,0,entry,215,kEntrySubmit,kLong,0.28444,1e-05,13,35,kRejected,0,0,,639173,1781639604536799497,missing_exchange_order_id
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,970,2026-06-16 19:55:02.457531219,kBinance,211,1781639702456000000,1781639702457529435,1781639702457529713,1781639702457530389,1781639702456000000,1781639702457529435,1530389,1781639702457367000,1781639702457478018,163389,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.28878,288230376151712135,392,1781639702457553384,278,676,22995,23949,0,entry,216,kEntrySubmit,kLong,0.28892,1e-05,13,34,kRejected,0,0,,4626415,1781639702469033925,missing_exchange_order_id
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,971,2026-06-16 19:55:03.355082111,kBinance,211,1781639703354000000,1781639703355080901,1781639703355081208,1781639703355081639,1781639703354000000,1781639703355080901,1081639,1781639703354391000,1781639703354491180,690639,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.28896,288230376151712136,393,1781639703355086780,307,431,5141,5879,0,entry,217,kEntrySubmit,kLong,0.2891,1e-05,13,34,kRejected,0,0,,695164,1781639703356661489,missing_exchange_order_id
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,972,2026-06-16 19:55:11.774255300,kBinance,151,1781639711773000000,1781639711774253050,1781639711774253710,1781639711774254519,1781639711773000000,1781639711774253050,1254519,1781639711721338000,1781639711721481218,52916519,ENA_USDT,151,kLead,kOpenShort,kSell,false,0,0.08571,,,,660,809,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,973,2026-06-16 19:55:34.236842388,kBinance,378,1781639734236000000,1781639734236840491,1781639734236840748,1781639734236841772,1781639734236000000,1781639734236840491,841772,1781639734235746000,1781639734235865224,1095772,SKYAI_USDT,378,kLead,kOpenShort,kSell,false,0,0.44003,288230376151712137,394,1781639734236856663,257,1024,14891,16172,235876031617533078,entry,24,kEntrySubmit,kShort,0.43999,1e-05,4,22,kCancelled,0,0,,635861,1781639734243305119,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,974,2026-06-16 19:56:16.308193059,kBinance,461,1781639776307000000,1781639776308190805,1781639776308191359,1781639776308192039,1781639776307000000,1781639776308190805,1192039,1781639776305962000,1781639776306148092,2230039,WLD_USDT,461,kLead,kOpenShort,kSell,false,0,0.6549,288230376151712138,395,1781639776308207993,554,680,15954,17188,197595435396285123,entry,18,kEntrySubmit,kShort,0.6547,0.0001,2,152,kCancelled,0,0,,815980,1781639776315250802,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,975,2026-06-16 19:56:42.833488044,kBinance,295,1781639802832000000,1781639802833485492,1781639802833485934,1781639802833487096,1781639802832000000,1781639802833485492,1487096,1781639802832919000,1781639802833049865,568096,NEAR_USDT,295,kLead,kOpenShort,kSell,false,0,2.2917,288230376151712139,396,1781639802833500335,442,1162,13239,14843,123567515801600252,entry,4,kEntrySubmit,kShort,2.2911,0.0001,6,43,kCancelled,0,0,,800191,1781639802848221902,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,976,2026-06-16 19:57:13.828603673,kBinance,481,1781639833827000000,1781639833828601810,1781639833828602093,1781639833828602723,1781639833827000000,1781639833828601810,1602723,1781639833524257000,1781639833524378236,304345723,ZEC_USDT,481,kLead,kOpenShort,kSell,false,0,496.15,,,,283,630,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,977,2026-06-16 19:57:13.828607533,kBinance,481,1781639833827000000,1781639833828603067,1781639833828607292,1781639833828607463,1781639833827000000,1781639833828603067,1607463,1781639833524257000,1781639833524378236,304350463,ZEC_USDT,481,kLead,kOpenShort,kSell,false,0,496.15,,,,4225,171,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,978,2026-06-16 19:57:13.829024728,kBinance,481,1781639833828000000,1781639833829023879,1781639833829024280,1781639833829024673,1781639833828000000,1781639833829023879,1024673,1781639833524257000,1781639833524378236,304767673,ZEC_USDT,481,kLead,kOpenShort,kSell,false,0,496.15,,,,401,393,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,979,2026-06-16 19:57:13.829026291,kBinance,481,1781639833828000000,1781639833829024620,1781639833829025829,1781639833829026235,1781639833828000000,1781639833829024620,1026235,1781639833524257000,1781639833524378236,304769235,ZEC_USDT,481,kLead,kOpenShort,kSell,false,0,496.15,,,,1209,406,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,980,2026-06-16 19:57:13.830061240,kBinance,481,1781639833829000000,1781639833830060511,1781639833830060927,1781639833830061185,1781639833829000000,1781639833830060511,1061185,1781639833524257000,1781639833524378236,305804185,ZEC_USDT,481,kLead,kOpenShort,kSell,false,0,496.15,,,,416,258,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,981,2026-06-16 19:57:13.830393693,kBinance,481,1781639833829000000,1781639833830392930,1781639833830393422,1781639833830393636,1781639833829000000,1781639833830392930,1393636,1781639833524257000,1781639833524378236,306136636,ZEC_USDT,481,kLead,kOpenShort,kSell,false,0,496.15,,,,492,214,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,982,2026-06-16 19:57:13.830395072,kBinance,481,1781639833829000000,1781639833830394215,1781639833830394690,1781639833830395016,1781639833829000000,1781639833830394215,1395016,1781639833524257000,1781639833524378236,306138016,ZEC_USDT,481,kLead,kOpenShort,kSell,false,0,496.15,,,,475,326,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,983,2026-06-16 19:57:13.830396275,kBinance,481,1781639833829000000,1781639833830395769,1781639833830396010,1781639833830396220,1781639833829000000,1781639833830395769,1396220,1781639833524257000,1781639833524378236,306139220,ZEC_USDT,481,kLead,kOpenShort,kSell,false,0,496.15,,,,241,210,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,984,2026-06-16 19:57:13.830397293,kBinance,481,1781639833829000000,1781639833830396109,1781639833830397056,1781639833830397240,1781639833829000000,1781639833830396109,1397240,1781639833524257000,1781639833524378236,306140240,ZEC_USDT,481,kLead,kOpenShort,kSell,false,0,496.15,,,,947,184,,,,,,,,,,,,,,,,,,missing_order
