run_id,signal_index,log_time,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,signal_lead_id,lead_freshness_ns,lag_exchange_ns,lag_local_ns,signal_lag_id,lag_freshness_ns,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,request_send_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
bitget_lead_lag_top20_20260715T125649Z,18,2026-07-15 13:14:15.141554397,kBinance,411,1784121255140000000,1784121255141548459,1784121255141553855,1784121255141554331,1784121255140000000,1784121255141548459,11053440023644,1554331,1784121254652000000,1784121254652992944,370685063146,489554331,TAC_USDT,411,kLead,kOpenShort,kSell,false,0,0.003005,0,,,5396,476,,,,entry,0,,,0.003004,1e-06,1,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,19,2026-07-15 13:14:53.236412842,kBinance,411,1784121293235000000,1784121293236410856,1784121293236411363,1784121293236412316,1784121293235000000,1784121293236410856,11053444327747,1412316,1784121274565000000,1784121274565503194,370685207079,18671412316,TAC_USDT,411,kLead,kOpenShort,kSell,false,0,0.003003,0,,,507,953,,,,entry,0,,,0.003002,1e-06,1,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,20,2026-07-15 13:14:53.236417373,kBinance,411,1784121293235000000,1784121293236411349,1784121293236416901,1784121293236417308,1784121293235000000,1784121293236411349,11053444327748,1417308,1784121274565000000,1784121274565503194,370685207079,18671417308,TAC_USDT,411,kLead,kOpenShort,kSell,false,0,0.003003,0,,,5552,407,,,,entry,0,,,0.003002,1e-06,1,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,21,2026-07-15 13:14:53.237053637,kBinance,411,1784121293236000000,1784121293237052756,1784121293237053201,1784121293237053576,1784121293236000000,1784121293237052756,11053444327947,1053576,1784121274565000000,1784121274565503194,370685207079,18672053576,TAC_USDT,411,kLead,kOpenShort,kSell,false,0,0.003003,0,,,445,375,,,,entry,0,,,0.003002,1e-06,1,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,22,2026-07-15 13:15:26.958461903,kBinance,438,1784121326957000000,1784121326958460341,1784121326958460708,1784121326958461557,1784121326957000000,1784121326958460341,11053448687755,1461557,1784121326159000000,1784121326159692311,370685643583,799461557,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08579,0,,,367,849,,,,entry,0,,,0.08577,1e-05,2,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,23,2026-07-15 13:15:26.958466861,kBinance,438,1784121326958000000,1784121326958462255,1784121326958466445,1784121326958466793,1784121326958000000,1784121326958462255,11053448687835,466793,1784121326159000000,1784121326159692311,370685643583,799466793,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08579,0,,,4190,348,,,,entry,0,,,0.08577,1e-05,2,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,24,2026-07-15 13:15:26.958905269,kBinance,438,1784121326958000000,1784121326958904386,1784121326958904835,1784121326958905212,1784121326958000000,1784121326958904386,11053448687850,905212,1784121326159000000,1784121326159692311,370685643583,799905212,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08579,0,,,449,377,,,,entry,0,,,0.08577,1e-05,2,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,25,2026-07-15 13:15:26.958906285,kBinance,438,1784121326958000000,1784121326958905075,1784121326958905901,1784121326958906230,1784121326958000000,1784121326958905075,11053448687864,906230,1784121326159000000,1784121326159692311,370685643583,799906230,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08579,0,,,826,329,,,,entry,0,,,0.08577,1e-05,2,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,26,2026-07-15 13:15:32.000249755,kBinance,438,1784121331999000000,1784121332000248348,1784121332000248810,1784121332000249408,1784121331999000000,1784121332000248348,11053449172040,1249408,1784121331811000000,1784121331811318961,370685685957,189249408,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08566,432345564227567622,,1784121332000266698,462,598,17290,18350,1461276267304857601,entry,2,kEntrySubmit,kShort,0.08564,1e-05,2,61,kCancelled,0,0,,5336412,1784121332006206615,
bitget_lead_lag_top20_20260715T125649Z,27,2026-07-15 13:15:32.001369747,kBinance,438,1784121332000000000,1784121332001368643,1784121332001369281,1784121332001369691,1784121332000000000,1784121332001368643,11053449172353,1369691,1784121332000000000,1784121332001298114,370685687156,1369691,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08551,0,,,638,410,,,,entry,0,,,0.08551,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,28,2026-07-15 13:17:17.250416436,kBinance,211,1784121437249000000,1784121437250414500,1784121437250415004,1784121437250416092,1784121437249000000,1784121437250414500,11053461362576,1416092,1784121437242000000,1784121437243013021,370686516023,8416092,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.0675,432345564227567623,,1784121437250434103,504,1088,18011,19603,1461276708755353604,entry,1,kEntrySubmit,kLong,0.06752,1e-05,2,78,kCancelled,0,0,,5425544,1784121437256417809,
bitget_lead_lag_top20_20260715T125649Z,29,2026-07-15 13:17:17.250438309,kBinance,211,1784121437249000000,1784121437250415231,1784121437250437829,1784121437250438219,1784121437249000000,1784121437250415231,11053461362581,1438219,1784121437242000000,1784121437243013021,370686516023,8438219,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.0675,0,,,22598,390,,,,entry,0,,,0.0675,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,30,2026-07-15 13:17:17.250980960,kBinance,211,1784121437250000000,1784121437250980182,1784121437250980635,1784121437250980902,1784121437250000000,1784121437250980182,11053461362636,980902,1784121437242000000,1784121437243013021,370686516023,8980902,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.0675,0,,,453,267,,,,entry,0,,,0.0675,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,31,2026-07-15 13:17:17.251466606,kBinance,211,1784121437250000000,1784121437251465677,1784121437251466207,1784121437251466541,1784121437250000000,1784121437251465677,11053461362692,1466541,1784121437242000000,1784121437243013021,370686516023,9466541,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.0675,0,,,530,334,,,,entry,0,,,0.0675,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,32,2026-07-15 13:17:17.251467562,kBinance,211,1784121437250000000,1784121437251466206,1784121437251467182,1784121437251467497,1784121437250000000,1784121437251466206,11053461362712,1467497,1784121437242000000,1784121437243013021,370686516023,9467497,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.0675,0,,,976,315,,,,entry,0,,,0.0675,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,33,2026-07-15 13:17:17.251899154,kBinance,211,1784121437251000000,1784121437251898371,1784121437251898756,1784121437251899090,1784121437251000000,1784121437251898371,11053461362744,899090,1784121437251000000,1784121437251823917,370686516064,899090,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.06751,0,,,385,334,,,,entry,0,,,0.06751,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,34,2026-07-15 13:17:17.252916494,kBinance,211,1784121437252000000,1784121437252915612,1784121437252916037,1784121437252916428,1784121437252000000,1784121437252915612,11053461362859,916428,1784121437252000000,1784121437252678216,370686516099,916428,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.06757,0,,,425,391,,,,entry,0,,,0.06757,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,35,2026-07-15 13:17:17.252917499,kBinance,211,1784121437252000000,1784121437252916683,1784121437252917115,1784121437252917434,1784121437252000000,1784121437252916683,11053461362912,917434,1784121437252000000,1784121437252678216,370686516099,917434,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.06757,0,,,432,319,,,,entry,0,,,0.06757,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,36,2026-07-15 13:17:17.254511296,kBinance,211,1784121437253000000,1784121437254510501,1784121437254510865,1784121437254511230,1784121437253000000,1784121437254510501,11053461363063,1511230,1784121437254000000,1784121437254391579,370686516128,511230,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.06757,0,,,364,365,,,,entry,0,,,0.06757,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,37,2026-07-15 13:17:17.255422853,kBinance,211,1784121437254000000,1784121437255421989,1784121437255422408,1784121437255422786,1784121437254000000,1784121437255421989,11053461363224,1422786,1784121437254000000,1784121437255083872,370686516138,1422786,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.06757,0,,,419,378,,,,entry,0,,,0.06757,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,38,2026-07-15 13:17:17.258886625,kBinance,211,1784121437258000000,1784121437258885749,1784121437258886126,1784121437258886556,1784121437258000000,1784121437258885749,11053461363691,886556,1784121437258000000,1784121437258765591,370686516190,886556,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.0676,432345564227567624,,1784121437258888776,377,430,2220,3027,1461276708788908040,entry,2,kEntrySubmit,kLong,0.06762,1e-05,2,78,kCancelled,0,0,,5055379,1784121437264422113,
bitget_lead_lag_top20_20260715T125649Z,39,2026-07-15 13:17:17.259446989,kBinance,211,1784121437258000000,1784121437259446337,1784121437259446722,1784121437259446923,1784121437258000000,1784121437259446337,11053461363738,1446923,1784121437258000000,1784121437258765591,370686516190,1446923,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.0676,0,,,385,201,,,,entry,0,,,0.0676,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,40,2026-07-15 13:17:17.260424840,kBinance,211,1784121437259000000,1784121437260424050,1784121437260424404,1784121437260424774,1784121437259000000,1784121437260424050,11053461363880,1424774,1784121437260000000,1784121437260420381,370686516209,424774,H_USDT,211,kLead,kOpenLong,kBuy,false,0,0.06762,0,,,354,370,,,,entry,0,,,0.06762,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_20260715T125649Z,41,2026-07-15 13:21:09.158107590,kBinance,449,1784121669157000000,1784121669158105154,1784121669158105607,1784121669158106896,1784121669157000000,1784121669158105154,11053491036386,1106896,1784121669123000000,1784121669123983170,370688478097,35106896,VELVET_USDT,449,kLead,kOpenLong,kBuy,false,0,0.51922,432345564227567625,,1784121669158124821,453,1289,17925,19667,1461277681448005635,entry,2,kEntrySubmit,kLong,0.51933,1e-05,11,10,kCancelled,0,0,,5212048,1784121669163927480,
bitget_lead_lag_top20_20260715T125649Z,42,2026-07-15 13:21:42.597000690,kBinance,438,1784121702595000000,1784121702596998889,1784121702596999330,1784121702597000152,1784121702595000000,1784121702596998889,11053495984437,2000152,1784121702594000000,1784121702594530587,370688842078,3000152,UB_USDT,438,kLead,kOpenShort,kSell,false,0,0.08634,432345564227567626,,1784121702597018172,441,822,18020,19283,1461277821697142793,entry,3,kEntrySubmit,kShort,0.08632,1e-05,2,61,kCancelled,0,0,,5191337,1784121702602594506,
bitget_lead_lag_top20_20260715T125649Z,43,2026-07-15 13:22:54.425079010,kBinance,480,1784121774424000000,1784121774425076289,1784121774425076563,1784121774425078406,1784121774424000000,1784121774425076289,11053504228161,1078406,1784121774419000000,1784121774419870977,416733715227,6078406,ZEC_USDT,480,kLead,kOpenShort,kSell,false,0,583.95,432345564227567627,,1784121774425097130,274,1843,18724,20841,1461278122969804829,entry,1,kEntrySubmit,kShort,583.83,0.01,12,0.009,kCancelled,0,0,,5587239,1784121774431262394,
bitget_lead_lag_top20_20260715T125649Z,44,2026-07-15 13:23:06.233279040,kBinance,411,1784121786232000000,1784121786233277055,1784121786233277463,1784121786233278433,1784121786232000000,1784121786233277055,11053506045606,1278433,1784121782105000000,1784121782107911143,370689535111,4128278433,TAC_USDT,411,kLead,kOpenLong,kBuy,false,0,0.003009,0,,,408,970,,,,entry,0,,,0.00301,1e-06,1,0,kRejected,,,,,,
