run_id,local_order_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,symbol,symbol_id,trigger_ticker_id,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,ack_rtt_ns,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711833,t-288230376151711833,90,144115188075855962,281193503376280805,LAB_USDT,15,10686911668663,kBinance,15,1780388780417000000,7587834559035274,1780388780418570720,1780388780418571631,kLead,entry,74,kEntrySubmit,kShort,288230376151711833,kOpenShort,kSell,false,kImmediateOrCancel,kPartiallyCancelled,kImmediateOrCancel,kUnknown,17.00284,16.99784,16.99784,1e-05,500,500,1.1,1.1,0.30000000000000004,0.8,0.8,0.2727272727272727636363636363636364,17.00284,17.00284,100.0,510.08520000000006801136,kNone,0,0,0,0,500,0.0002,0.102017040000000013602272,config_estimated,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,375,106,0,0,0,10,570272,1780388780418785000,1780388780418954000,169000,,,,,,,,,,,,,,,,,,,,,,,,,1780388780418579990,1780388780419150262,1780388780420441283,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711834,t-288230376151711834,91,144115188075855963,281193503376281652,LAB_USDT,15,3220230108,kGate,15,1780388780851140000,7587834992108707,1780388780851643795,1780388780851644245,kLag,exit,74,kExitSubmit,kShort,288230376151711833,kCloseShort,kBuy,true,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,16.9795,16.9845,16.98450,1e-05,500,500,0.3,0.3,0,0.3,0.3,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,414,159,0,0,0,10,702756,1780388780851869000,1780388780852126000,257000,,,,,,,,,,,,,,,,,,,,,,,,,1780388780851647838,1780388780852350594,1780388780862986564,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711835,t-288230376151711835,92,144115188075855964,281193503376281935,LAB_USDT,15,10686911795506,kBinance,15,1780388781229000000,7587835370368600,1780388781229904135,1780388781229904639,kLead,exit,74,kExitSubmit,kShort,288230376151711833,kCloseShort,kBuy,true,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,16.98539,16.99039,16.99039,1e-05,500,500,0.3,0.3,0,0.3,0.3,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,428,147,0,0,0,10,548402,1780388781230101000,1780388781230238000,137000,,,,,,,,,,,,,,,,,,,,,,,,,1780388781229907104,1780388781230455506,1780388781231463755,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711836,t-288230376151711836,93,144115188075855965,281193503376282837,LAB_USDT,15,10686911861850,kBinance,15,1780388782135000000,7587836277129243,1780388782136664228,1780388782136664475,kLead,exit,74,kExitSubmit,kShort,288230376151711833,kCloseShort,kBuy,true,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,16.9777,16.9827,16.98270,1e-05,500,500,0.3,0.3,0,0.3,0.3,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,434,121,0,0,0,10,489993,1780388782136862000,1780388782136989000,127000,,,,,,,,,,,,,,,,,,,,,,,,,1780388782136666255,1780388782137156248,1780388782142576039,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711837,t-288230376151711837,94,144115188075855966,281193503376285397,LAB_USDT,15,10686912092008,kBinance,15,1780388783416000000,7587837557603621,1780388783417138872,1780388783417139067,kLead,exit,74,kExitSubmit,kShort,288230376151711833,kCloseShort,kBuy,true,kImmediateOrCancel,kFilled,kUnknown,kUnknown,16.9932,16.9982,16.99820,1e-05,500,500,0.3,0.3,0.3,0,0,1,16.9932,16.9932,100.0,509.796,kTaker,0,0,0,0,500,0.0002,0.1019592,config_estimated,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,440,138,0,0,0,10,622852,1780388783417377000,1780388783417535000,158000,,,,,,,,,,,,,,,,,,,,,,,,,1780388783417141153,1780388783417764005,1780388783481844602,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711838,t-288230376151711838,95,144115188075855967,281193503376393139,LAB_USDT,15,10686924504740,kBinance,15,1780388875928000000,7587930069514137,1780388875929049746,1780388875929051319,kLead,entry,75,kEntrySubmit,kLong,288230376151711838,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,17.06939,17.07439,17.07439,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,349,70,0,0,0,10,549449,1780388875929269000,1780388875929397000,128000,,,,,,,,,,,,,,,,,,,,,,,,,1780388875929062981,1780388875929612430,1780388875937458174,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711839,t-288230376151711839,96,144115188075855968,281193503376432085,LAB_USDT,15,10686929297721,kBinance,15,1780388911872000000,7587966013416487,1780388911872951861,1780388911872952837,kLead,entry,76,kEntrySubmit,kShort,288230376151711839,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,17.0396,17.0346,17.03460,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,337,54,0,0,0,10,469689,1780388911873151000,1780388911873252000,101000,,,,,,,,,,,,,,,,,,,,,,,,,1780388911872963083,1780388911873432772,1780388911881512328,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711840,t-288230376151711840,97,144115188075855969,281193503376484729,LAB_USDT,15,10686936256550,kBinance,15,1780388966909000000,7588021050549038,1780388966910083998,1780388966910085023,kLead,entry,77,kEntrySubmit,kShort,288230376151711840,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,16.73217,16.72717,16.72717,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,380,110,0,0,0,10,577582,1780388966910288000,1780388966910441000,153000,,,,,,,,,,,,,,,,,,,,,,,,,1780388966910096230,1780388966910673812,1780388966945414873,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711841,t-288230376151711841,98,144115188075855970,281193503377404008,LAB_USDT,15,10687040259724,kBinance,15,1780389997370000000,7589051512044685,1780389997371580099,1780389997371581497,kLead,entry,78,kEntrySubmit,kLong,288230376151711841,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,17.72442,17.72942,17.72942,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,4,true,1234,1839,0,0,0,10,7629119,1780389997371799000,1780389997379013000,7214000,kAckRttThreshold,7629119,25374,37274,15301,20107,1,46293,230,1780389997371591982,1780389997371593913,1780389997371594007,1780389997371594514,1780389997371594564,1780389997371603895,1780389997371608853,245,245,0,false,0,true,245,0,1780389997371592609,1780389997379221728,1780389997381885470,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711842,t-288230376151711842,99,144115188075855971,281193503377448330,LAB_USDT,15,10687047352975,kBinance,15,1780390061094000000,7589115236022470,1780390061095557866,1780390061095558925,kLead,entry,79,kEntrySubmit,kLong,288230376151711842,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,17.7226,17.7276,17.72760,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,473,256,0,0,0,10,524058,1780390061095773000,1780390061095906000,133000,,,,,,,,,,,,,,,,,,,,,,,,,1780390061095570192,1780390061096094250,1780390061100445803,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711843,t-288230376151711843,100,144115188075855972,281193503377481674,LAB_USDT,15,10687051888334,kBinance,15,1780390098478000000,7589152619529848,1780390098479064811,1780390098479065701,kLead,entry,80,kEntrySubmit,kLong,288230376151711843,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,17.87609,17.88109,17.88109,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,391,105,0,0,0,10,488144,1780390098479273000,1780390098479391000,118000,,,,,,,,,,,,,,,,,,,,,,,,,1780390098479076786,1780390098479564930,1780390098490400062,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711844,t-288230376151711844,101,144115188075855973,281193503377576674,LAB_USDT,15,10687065961914,kBinance,15,1780390211744000000,7589265885638786,1780390211745173727,1780390211745174741,kLead,entry,81,kEntrySubmit,kShort,288230376151711844,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,17.99997,17.99497,17.99497,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,341,58,0,0,0,10,534818,1780390211745395000,1780390211745514000,119000,,,,,,,,,,,,,,,,,,,,,,,,,1780390211745185505,1780390211745720323,1780390211793406940,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711845,t-288230376151711845,102,144115188075855974,281193503377616752,LAB_USDT,15,10687070263796,kBinance,15,1780390257551000000,7589311692917697,1780390257552452784,1780390257552453745,kLead,entry,82,kEntrySubmit,kShort,288230376151711845,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,18.03872,18.03372,18.03372,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,420,188,0,0,0,10,961692,1780390257552741000,1780390257553076000,335000,,,,,,,,,,,,,,,,,,,,,,,,,1780390257552464561,1780390257553426253,1780390257558217363,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711846,t-288230376151711846,103,144115188075855975,281193503378041900,LAB_USDT,15,10687125823091,kBinance,15,1780390800163000000,7589854304732853,1780390800164268244,1780390800164269460,kLead,entry,83,kEntrySubmit,kShort,288230376151711846,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,17.70449,17.69949,17.69949,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,848,1093,0,0,0,10,4662392,1780390800164482000,1780390800168698000,4216000,,,,,,,,,,,,,,,,,,,,,,,,,1780390800164280818,1780390800168943210,1780390800430257989,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711847,t-288230376151711847,104,144115188075855976,281193503378042283,LAB_USDT,15,10687125927107,kBinance,15,1780390800466000000,7589854607522645,1780390800467058148,1780390800467058615,kLead,entry,84,kEntrySubmit,kShort,288230376151711847,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,17.67875,17.67375,17.67375,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,803,909,0,0,0,10,502531,1780390800467266000,1780390800467398000,132000,,,,,,,,,,,,,,,,,,,,,,,,,1780390800467060671,1780390800467563202,1780390800776048036,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711848,t-288230376151711848,105,144115188075855977,281193503378042572,LAB_USDT,15,10687125993822,kBinance,15,1780390800785000000,7589854926519567,1780390800786054888,1780390800786055212,kLead,entry,85,kEntrySubmit,kShort,288230376151711848,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,17.64275,17.63775,17.63775,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,765,758,0,0,0,10,524301,1780390800786251000,1780390800786384000,133000,,,,,,,,,,,,,,,,,,,,,,,,,1780390800786057074,1780390800786581375,1780390801082805977,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711849,t-288230376151711849,106,144115188075855978,281193503378075100,LAB_USDT,15,10687132966369,kBinance,15,1780390856040000000,7589910182015100,1780390856041550552,1780390856041551478,kLead,entry,86,kEntrySubmit,kShort,288230376151711849,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,17.54931,17.54431,17.54431,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,493,244,0,0,0,10,507697,1780390856041764000,1780390856041859000,95000,,,,,,,,,,,,,,,,,,,,,,,,,1780390856041562568,1780390856042070265,1780390856051369033,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711850,t-288230376151711850,107,144115188075855979,281193503378182631,LAB_USDT,15,10687154968210,kBinance,15,1780391003238000000,7590057380404823,1780391003239940144,1780391003239941255,kLead,entry,87,kEntrySubmit,kLong,288230376151711850,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,17.49937,17.50437,17.50437,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,341,56,0,0,0,10,497905,1780391003240153000,1780391003240253000,100000,,,,,,,,,,,,,,,,,,,,,,,,,1780391003239953291,1780391003240451196,1780391003249774632,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711851,t-288230376151711851,108,144115188075855980,281193503378292235,LAB_USDT,15,10687171273196,kBinance,15,1780391128192000000,7590182333454656,1780391128192989753,1780391128192990909,kLead,entry,88,kEntrySubmit,kShort,288230376151711851,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,17.94921,17.94421,17.94421,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,345,51,0,0,0,10,495225,1780391128193206000,1780391128193315000,109000,,,,,,,,,,,,,,,,,,,,,,,,,1780391128193002313,1780391128193497538,1780391128209985431,submitted_v1,
