lag_freshness_ms,lead_freshness_ms,symbol,action,status,filled_qty,local_order_id,signal_decision_ns,lag_exchange_ns,lead_exchange_ns,raw_price,order_price
5103.815,1.382,SKYAI_USDT,kOpenShort,kCancelled,0,288230376151716502,1780589484791381929,1780589479687567000,1780589484790000000,0.17766,0.17762
5042.657,1.338,AIA_USDT,kOpenShort,kCancelled,0,288230376151712347,1780562867907338211,1780562862864681000,1780562867906000000,0.07387,0.07385
4883.975,1.265,CLO_USDT,kOpenLong,kCancelled,0,288230376151712381,1780563381401265418,1780563376517290000,1780563381400000000,0.1445,0.14454
4764.529,0.829,MYX_USDT,kOpenShort,kCancelled,0,288230376151711907,1780557331083829457,1780557326319300000,1780557331083000000,0.2895,0.2894
4494.108,7.205,PIEVERSE_USDT,kOpenShort,kCancelled,0,288230376151715292,1780579802794205477,1780579798300097000,1780579802787000000,0.8405,0.8403
4398.633,1.239,SKYAI_USDT,kOpenShort,kCancelled,0,288230376151713915,1780571311876238939,1780571307477606000,1780571311875000000,0.17398,0.17394
4266.650,1.110,AIA_USDT,kOpenShort,kCancelled,0,288230376151712118,1780559750523110279,1780559746256460000,1780559750522000000,0.06845,0.06843
4185.858,1.014,AIA_USDT,kOpenLong,kCancelled,0,288230376151718065,1780611326259014113,1780611322073156000,1780611326258000000,0.05842,0.05844
4171.416,0.876,INJ_USDT,kOpenShort,kCancelled,0,288230376151717719,1780605480726875905,1780605476555460000,1780605480726000000,5.463,5.461
4072.341,1.563,STO_USDT,kOpenLong,kCancelled,0,288230376151717462,1780601330984563389,1780601326912222000,1780601330983000000,0.06216,0.06218
3873.419,1.906,INJ_USDT,kOpenShort,kCancelled,0,288230376151718495,1780617600644906428,1780617596771487000,1780617600643000000,5.398,5.396
3793.349,1.616,CLO_USDT,kOpenShort,kCancelled,0,288230376151718280,1780614116200615764,1780614112407267000,1780614116199000000,0.12003,0.11999
3674.052,1.367,AIA_USDT,kOpenLong,kCancelled,0,288230376151717942,1780609272592366594,1780609268918315000,1780609272591000000,0.05632,0.05634
3663.806,1.261,AIA_USDT,kOpenShort,kCancelled,0,288230376151716055,1780585423806260651,1780585420142455000,1780585423805000000,0.0585,0.05848
3644.881,1.070,MYX_USDT,kOpenLong,kCancelled,0,288230376151715998,1780584755709069594,1780584752064189000,1780584755708000000,0.2608,0.2609
3560.297,0.885,PIEVERSE_USDT,kOpenShort,kFilled,12,288230376151718494,1780617600572885095,1780617597012588000,1780617600572000000,0.8081,0.8079
3558.452,1.888,STO_USDT,kCloseShort,kFilled,3,288230376151712363,1780563164378887649,1780563160820436000,1780563164377000000,0.06162,0.06164
3519.396,0.919,AIA_USDT,kCloseShort,kPartiallyCancelled,26,288230376151712120,1780559755202918884,1780559751683523000,1780559755202000000,0.06839,0.06841
3452.768,0.775,CLO_USDT,kOpenLong,kCancelled,0,288230376151712008,1780558364851775149,1780558361399007000,1780558364851000000,0.14508,0.14512
3447.174,1.167,CLO_USDT,kOpenLong,kCancelled,0,288230376151711838,1780556658719166924,1780556655271993000,1780556658718000000,0.14467,0.14471
3411.527,1.118,EPIC_USDT,kOpenShort,kCancelled,0,288230376151712437,1780563729645117885,1780563726233591000,1780563729644000000,0.5468,0.5466
3384.992,1.269,INJ_USDT,kOpenShort,kCancelled,0,288230376151715023,1780578140404268524,1780578137019277000,1780578140403000000,5.899,5.897
3325.544,1.114,CLO_USDT,kOpenShort,kCancelled,0,288230376151717132,1780597499152113700,1780597495826570000,1780597499151000000,0.13675,0.13671
3316.791,1.622,SKYAI_USDT,kOpenShort,kCancelled,0,288230376151718086,1780611561341622126,1780611558024831000,1780611561340000000,0.17426,0.17422
3302.823,1.066,AIA_USDT,kOpenShort,kCancelled,0,288230376151718636,1780618712034066173,1780618708731243000,1780618712033000000,0.05776,0.05774
3297.391,1.561,CLO_USDT,kOpenShort,kCancelled,0,288230376151718682,1780619258405561300,1780619255108170000,1780619258404000000,0.12294,0.1229
3287.251,1.066,PIEVERSE_USDT,kOpenShort,kCancelled,0,288230376151715861,1780583189063065604,1780583185775815000,1780583189062000000,0.8435,0.8433
3239.776,1.626,ENA_USDT,kOpenShort,kCancelled,0,288230376151718408,1780616261651625525,1780616258411850000,1780616261650000000,0.09406,0.09403
3207.485,0.984,SKYAI_USDT,kOpenShort,kCancelled,0,288230376151713540,1780569469958984241,1780569466751499000,1780569469958000000,0.17618,0.17613
3068.533,1.227,EPIC_USDT,kOpenShort,kCancelled,0,288230376151713574,1780569686008227060,1780569682939694000,1780569686007000000,0.5943,0.5941
3024.900,0.855,XPL_USDT,kOpenShort,kCancelled,0,288230376151717097,1780596886025855065,1780596883000955000,1780596886025000000,0.0892,0.08918
2991.611,1.610,BEAT_USDT,kOpenShort,kCancelled,0,288230376151713101,1780566984614609576,1780566981622999000,1780566984613000000,1.4056,1.4053
2977.792,1.164,MYX_USDT,kOpenShort,kCancelled,0,288230376151711791,1780556100143163715,1780556097165372000,1780556100142000000,0.2899,0.2898
2956.564,1.651,EPIC_USDT,kOpenLong,kCancelled,0,288230376151717108,1780597043088650715,1780597040132087000,1780597043087000000,0.6217,0.6219
2923.780,1.179,CLO_USDT,kOpenShort,kCancelled,0,288230376151715640,1780581360017179419,1780581357093399000,1780581360016000000,0.14439,0.14435
2923.589,1.110,CLO_USDT,kOpenLong,kCancelled,0,288230376151718553,1780617858822109786,1780617855898521000,1780617858821000000,0.12747,0.12751
2867.966,1.599,CLO_USDT,kOpenShort,kCancelled,0,288230376151712822,1780565646917599005,1780565644049633000,1780565646916000000,0.14412,0.14408
2783.677,0.977,SKYAI_USDT,kOpenShort,kCancelled,0,288230376151718694,1780619375750977209,1780619372967300000,1780619375750000000,0.17737,0.17733
2781.028,1.031,STO_USDT,kOpenLong,kCancelled,0,288230376151715866,1780583207773030540,1780583204992003000,1780583207772000000,0.06341,0.06343
2750.061,1.086,PIEVERSE_USDT,kOpenShort,kCancelled,0,288230376151715954,1780584103346086457,1780584100596025000,1780584103345000000,0.836,0.8358
2698.538,1.025,CLO_USDT,kOpenLong,kCancelled,0,288230376151713598,1780569881680024813,1780569878981487000,1780569881679000000,0.14382,0.14386
2686.259,0.986,CLO_USDT,kOpenLong,kCancelled,0,288230376151717672,1780604453111986474,1780604450425727000,1780604453111000000,0.12421,0.12425
2638.845,1.151,MYX_USDT,kOpenShort,kCancelled,0,288230376151714216,1780572733875151015,1780572731236306000,1780572733874000000,0.2897,0.2896
2613.727,1.235,CLO_USDT,kOpenShort,kCancelled,0,288230376151712357,1780563065740234932,1780563063126508000,1780563065739000000,0.14418,0.14414
2608.524,1.051,BEAT_USDT,kOpenLong,kCancelled,0,288230376151711769,1780555843885050566,1780555841276527000,1780555843884000000,1.3891,1.3894
2594.192,1.302,CLO_USDT,kOpenShort,kCancelled,0,288230376151718094,1780611743737302355,1780611741143110000,1780611743736000000,0.12288,0.12284
2580.674,1.051,AIA_USDT,kOpenShort,kCancelled,0,288230376151713381,1780568806852051208,1780568804271377000,1780568806851000000,0.06055,0.06053
2525.206,1.014,CLO_USDT,kOpenShort,kCancelled,0,288230376151717840,1780607623624014207,1780607621098808000,1780607623623000000,0.12706,0.12702
2521.460,1.303,STO_USDT,kOpenShort,kCancelled,0,288230376151716882,1780594754278302595,1780594751756843000,1780594754277000000,0.05974,0.05972
2486.324,0.856,AIA_USDT,kOpenLong,kCancelled,0,288230376151714708,1780575869048855637,1780575866562532000,1780575869048000000,0.05735,0.05737
2481.280,1.578,STO_USDT,kOpenShort,kCancelled,0,288230376151716345,1780587823744577855,1780587821263298000,1780587823743000000,0.06166,0.06164
2466.854,1.116,UB_USDT,kOpenShort,kCancelled,0,288230376151713916,1780571366616116224,1780571364149262000,1780571366615000000,0.10183,0.1018
2461.599,1.663,CLO_USDT,kOpenLong,kCancelled,0,288230376151714166,1780572566737663134,1780572564276064000,1780572566736000000,0.14428,0.14432
2457.557,1.091,SKYAI_USDT,kOpenLong,kCancelled,0,288230376151716318,1780587534498090647,1780587532040534000,1780587534497000000,0.18,0.18005
2423.935,1.018,STO_USDT,kOpenLong,kCancelled,0,288230376151713955,1780571477959017653,1780571475535083000,1780571477958000000,0.06035,0.06037
2406.138,1.713,CLO_USDT,kOpenLong,kCancelled,0,288230376151717638,1780603768261712968,1780603765855575000,1780603768260000000,0.12343,0.12347
2384.653,0.953,AIA_USDT,kOpenLong,kCancelled,0,288230376151717219,1780598274760953257,1780598272376300000,1780598274760000000,0.05928,0.0593
2380.404,1.267,PIEVERSE_USDT,kOpenShort,kCancelled,0,288230376151712003,1780558288807266812,1780558286426863000,1780558288806000000,0.8899,0.8897
2372.239,1.306,AIA_USDT,kOpenLong,kCancelled,0,288230376151716925,1780595192465306099,1780595190093067000,1780595192464000000,0.05853,0.05855
2362.242,1.201,MYX_USDT,kOpenLong,kCancelled,0,288230376151717264,1780598773039200899,1780598770676959000,1780598773038000000,0.2601,0.2602
2331.330,1.757,AIA_USDT,kOpenLong,kCancelled,0,288230376151715597,1780580898542757025,1780580896211427000,1780580898541000000,0.0601,0.06012
2274.962,1.703,TON_USDT,kOpenLong,kCancelled,0,288230376151718265,1780613950333703402,1780613948058741000,1780613950332000000,1.6685,1.6689
2264.500,1.545,STO_USDT,kOpenShort,kCancelled,0,288230376151713739,1780570252005544578,1780570249741045000,1780570252004000000,0.062,0.06198
2248.806,1.107,SLX_USDT,kOpenLong,kCancelled,0,288230376151714615,1780575420568107243,1780575418319301000,1780575420567000000,0.23417,0.23423
2191.992,1.001,LIT_USDT,kOpenLong,kCancelled,0,288230376151714907,1780577254652000591,1780577252460009000,1780577254651000000,1.507,1.508
2172.881,0.826,SKYAI_USDT,kOpenLong,kCancelled,0,288230376151714245,1780572907247825969,1780572905074945000,1780572907247000000,0.17464,0.17468
2171.454,1.411,MYX_USDT,kOpenLong,kCancelled,0,288230376151712580,1780564432498410732,1780564430326957000,1780564432497000000,0.2897,0.2898
2152.489,1.689,EPIC_USDT,kOpenShort,kCancelled,0,288230376151716051,1780585398911689422,1780585396759200000,1780585398910000000,0.6184,0.6182
2115.020,0.968,EPIC_USDT,kOpenShort,kCancelled,0,288230376151715622,1780581213220967521,1780581211105948000,1780581213220000000,0.6141,0.6139
2114.510,1.289,SKYAI_USDT,kOpenShort,kCancelled,0,288230376151713119,1780567194818289290,1780567192703779000,1780567194817000000,0.17783,0.17779
2112.620,1.094,SKYAI_USDT,kOpenShort,kCancelled,0,288230376151716711,1780592460494094358,1780592458381474000,1780592460493000000,0.1732,0.17316
2105.193,0.520,SLX_USDT,kOpenShort,kCancelled,0,288230376151713749,1780570284253519544,1780570282148327000,1780570284253000000,0.2393,0.23924
2094.676,1.133,CLO_USDT,kOpenShort,kCancelled,0,288230376151712568,1780564380885133029,1780564378790457000,1780564380884000000,0.14498,0.14494
2078.783,14.580,STO_USDT,kOpenLong,kCancelled,0,288230376151715733,1780582119546580440,1780582117467797000,1780582119532000000,0.06253,0.06255
2073.859,1.363,PIEVERSE_USDT,kOpenShort,kCancelled,0,288230376151714950,1780577540205362934,1780577538131504000,1780577540204000000,0.8442,0.844
2067.633,1.564,FET_USDT,kOpenShort,kCancelled,0,288230376151714439,1780574244836563901,1780574242768931000,1780574244835000000,0.2215,0.2214
2066.487,1.435,ONDO_USDT,kOpenShort,kCancelled,0,288230376151712427,1780563696724435441,1780563694657948000,1780563696723000000,0.3634,0.3633
2042.037,1.666,PIEVERSE_USDT,kCloseShort,kPartiallyCancelled,7,288230376151718509,1780617608134666022,1780617606092629000,1780617608133000000,0.8088,0.809
2041.966,1.721,AIA_USDT,kOpenLong,kCancelled,0,288230376151718404,1780616215465721093,1780616213423755000,1780616215464000000,0.05836,0.05838
2010.099,1.280,EPIC_USDT,kOpenShort,kCancelled,0,288230376151712658,1780564846012280092,1780564844002181000,1780564846011000000,0.5487,0.5485
