run_id,local_order_id,exchange_order_id,symbol,symbol_id,order_role,status,side,order_price,price_tick,slippage_ticks,signal_lag_id,signal_lag_local_ns,signal_lag_age_ns,request_send_local_ns,place_creation_exchange_ns,terminal_event,terminal_exchange_ns,window_duration_ns,signal_marketability,creation_marketability,window_marketability,terminal_marketability,marketability_observation,bbo_records_at_creation,bbo_records_in_window,bbo_records_at_terminal,first_no_cross_after_send_ns,first_no_cross_opposite_price,missing_reason
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567746,1463518902656577536,BTCUSDT,93,entry,kFilled,kSell,66199.5,0.1,131,770179423986,1784656017933796577,921142,1784656017933931291,1784656017936000000,exec,1784656017937000000,1000000,all_cross,all_cross,all_cross,all_cross,marketable_observed,1,12,1,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567747,1463518903151505408,BTCUSDT,93,exit,kFilled,kBuy,66204.6,0.1,131,770179437785,1784656018051593239,1219597,1784656018052223098,1784656018054000000,exec,1784656018055000000,1000000,all_cross,all_cross,all_cross,all_cross,marketable_observed,1,4,1,9996507,66204.9,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567748,1463518904648871957,BTCUSDT,93,entry,kCancelled,kSell,66201,0.1,131,770179473962,1784656018409487951,667443,1784656018409674788,1784656018411000000,cancel,1784656018413000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,4,1,796855,66199.2,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567749,1463518960407949327,TACUSDT,411,entry,kCancelled,kSell,0.003049,1e-06,1,374395179480,1784656031702250591,1955688,1784656031703965484,1784656031706000000,cancel,1784656031707000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,2,1,443372,0.003039,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567750,1463519299181883426,DEXEUSDT,135,entry,kCancelled,kBuy,9.166,0.001,7,429778863690,1784656112455685388,18953194,1784656112473963950,1784656112475000000,cancel,1784656112477000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,10,1,1702364,9.167,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567751,1463519314688225284,DEXEUSDT,135,entry,kCancelled,kBuy,9.182,0.001,7,429778951204,1784656116146308896,24501575,1784656116170511432,1784656116172000000,cancel,1784656116174000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,9,1,688997,9.185,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567752,1463519331926814730,DEXEUSDT,135,entry,kCancelled,kBuy,9.207,0.001,7,429779063217,1784656120208146306,73479216,1784656120280488107,1784656120282000000,cancel,1784656120284000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,10,1,1230333,9.215,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567753,1463519522176249863,SKHYUSDT,502,entry,kCancelled,kBuy,170.54,0.01,3,429780209010,1784656165634946556,5511818,1784656165639521251,1784656165641000000,cancel,1784656165643000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,32,1,1145769,170.55,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567754,1463519566946250752,DEXEUSDT,135,entry,kCancelled,kBuy,9.164,0.001,7,429780504198,1784656176156559257,157512084,1784656176313521841,1784656176315000000,cancel,1784656176317000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,13,1,890495,9.165,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567755,1463520290644045840,DEXEUSDT,135,entry,kCancelled,kBuy,9.15,0.001,7,429784802403,1784656348803130857,54229091,1784656348856239003,1784656348858000000,cancel,1784656348860000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,3,1,492944,9.152,
