run_id,signal_index,log_time,trigger_ticker_id,trigger_exchange,trigger_symbol_id,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
20260525_133511_12pair_live_2ticks,21,2026-05-25 14:02:29.974178013,10627562004891,kBinance,8,ETC_USDT,8,kLead,kOpenLong,kBuy,false,0,9.039,288230376151711765,22,63331870910142631,entry,1,kEntrySubmit,kLong,9.041,0.001,2,110,kCancelled,0,0,,3804523,1779717749989544637,
20260525_133511_12pair_live_2ticks,22,2026-05-25 14:02:33.806788596,10627562426510,kBinance,12,INJ_USDT,12,kLead,kOpenShort,kSell,false,0,5.683,288230376151711766,23,88664618535507507,entry,8,kEntrySubmit,kShort,5.681,0.001,2,176,kCancelled,0,0,,4753345,1779717753817544326,
20260525_133511_12pair_live_2ticks,23,2026-05-25 14:02:35.388542965,10627562595067,kBinance,6,ZEC_USDT,6,kLead,kOpenShort,kSell,false,0,673,288230376151711767,24,206602634295687075,entry,10,kEntrySubmit,kShort,672.98,0.01,2,14,kCancelled,0,0,,6001070,1779717755412542792,
20260525_133511_12pair_live_2ticks,24,2026-05-25 14:02:35.388863945,10627562595300,kBinance,9,DASH_USDT,9,kLead,kOpenShort,kSell,false,0,45.91,288230376151711768,25,51509920984605842,entry,1,kEntrySubmit,kShort,45.89,0.01,2,217,kCancelled,0,0,,7097679,1779717755418542952,
20260525_133511_12pair_live_2ticks,25,2026-05-25 14:02:50.468660317,10627563811108,kBinance,5,RAVE_USDT,5,kLead,kOpenLong,kBuy,false,0,0.5736,288230376151711769,26,294985777052812467,entry,1,kEntrySubmit,kLong,0.5738,0.0001,2,17.4,kCancelled,0,0,,4881332,1779717770479554336,
20260525_133511_12pair_live_2ticks,26,2026-05-25 14:03:28.657543910,10627567487390,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.697,288230376151711770,27,88664618535510941,entry,9,kEntrySubmit,kLong,5.699,0.001,2,175,kCancelled,0,0,,5995506,1779717808663557468,
20260525_133511_12pair_live_2ticks,27,2026-05-25 14:05:22.127544335,10627578665191,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,673.71,288230376151711771,28,206602634295716955,entry,11,kEntrySubmit,kLong,673.73,0.01,2,14,kCancelled,0,0,,5993638,1779717922145553421,
20260525_133511_12pair_live_2ticks,28,2026-05-25 14:06:15.544261320,10627585888481,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,675.26,288230376151711772,29,206602634295745159,entry,12,kEntrySubmit,kLong,675.28,0.01,2,14,kCancelled,0,0,,3663149,1779717975607544924,
20260525_133511_12pair_live_2ticks,29,2026-05-25 14:07:03.067545428,10627591402406,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.708,288230376151711773,30,88664618535521258,entry,10,kEntrySubmit,kLong,5.71,0.001,2,175,kCancelled,0,0,,5992213,1779718023085545461,
20260525_133511_12pair_live_2ticks,30,2026-05-25 14:09:00.009546531,10627602054514,kBinance,11,SUI_USDT,11,kLead,kOpenLong,kBuy,false,0,1.0546,288230376151711774,31,175640389419780022,entry,2,kEntrySubmit,kLong,1.0548,0.0001,2,94,kCancelled,0,0,,5992161,1779718140021545495,
20260525_133511_12pair_live_2ticks,31,2026-05-25 14:09:00.430174546,10627602101737,kBinance,11,SUI_USDT,11,kLead,kOpenShort,kSell,false,0,1.0553,288230376151711775,32,175640389419780315,entry,3,kEntrySubmit,kShort,1.0551,0.0001,2,94,kCancelled,0,0,,5370158,1779718140447543138,
