run_id,local_order_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,symbol,symbol_id,trigger_ticker_id,trigger_exchange,trigger_symbol_id,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,ack_rtt_ns,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
20260525_133511_12pair_live_2ticks,288230376151711766,t-288230376151711766,23,144115188075855895,88664618535507507,INJ_USDT,12,10627562426510,kBinance,12,kLead,entry,8,kEntrySubmit,kShort,288230376151711766,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.683,5.681,5.681,0.001,2,2,176,176,0,176,176,0,0,0,0.1,,kNone,,,,,,0.00016,,,4753345,1779717753806793663,1779717753811547008,1779717753817544326,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711767,t-288230376151711767,24,144115188075855896,206602634295687075,ZEC_USDT,6,10627562595067,kBinance,6,kLead,entry,10,kEntrySubmit,kShort,288230376151711767,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,673,672.98,672.98,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,6001070,1779717755388545895,1779717755394546965,1779717755412542792,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711768,t-288230376151711768,25,144115188075855897,51509920984605842,DASH_USDT,9,10627562595300,kBinance,9,kLead,entry,1,kEntrySubmit,kShort,288230376151711768,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,45.91,45.89,45.89,0.01,2,2,217,217,0,217,217,0,0,0,0.01,,kNone,,,,,,0.00016,,,7097679,1779717755388865325,1779717755395963004,1779717755418542952,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711769,t-288230376151711769,26,144115188075855898,294985777052812467,RAVE_USDT,5,10627563811108,kBinance,5,kLead,entry,1,kEntrySubmit,kLong,288230376151711769,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.5736,0.5738,0.5738,0.0001,2,2,17.4,17.4,0,17.4,17.4,0,0,0,10.0,,kNone,,,,,,0.00016,,,4881332,1779717770468665144,1779717770473546476,1779717770479554336,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711770,t-288230376151711770,27,144115188075855899,88664618535510941,INJ_USDT,12,10627567487390,kBinance,12,kLead,entry,9,kEntrySubmit,kLong,288230376151711770,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.697,5.699,5.699,0.001,2,2,175,175,0,175,175,0,0,0,0.1,,kNone,,,,,,0.00016,,,5995506,1779717808657551219,1779717808663546725,1779717808663557468,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711771,t-288230376151711771,28,144115188075855900,206602634295716955,ZEC_USDT,6,10627578665191,kBinance,6,kLead,entry,11,kEntrySubmit,kLong,288230376151711771,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,673.71,673.73,673.73,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,5993638,1779717922127553941,1779717922133547579,1779717922145553421,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711772,t-288230376151711772,29,144115188075855901,206602634295745159,ZEC_USDT,6,10627585888481,kBinance,6,kLead,entry,12,kEntrySubmit,kLong,288230376151711772,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,675.26,675.28,675.28,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,3663149,1779717975544272241,1779717975547935390,1779717975607544924,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711773,t-288230376151711773,30,144115188075855902,88664618535521258,INJ_USDT,12,10627591402406,kBinance,12,kLead,entry,10,kEntrySubmit,kLong,288230376151711773,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.708,5.71,5.710,0.001,2,2,175,175,0,175,175,0,0,0,0.1,,kNone,,,,,,0.00016,,,5992213,1779718023067556405,1779718023073548618,1779718023085545461,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711774,t-288230376151711774,31,144115188075855903,175640389419780022,SUI_USDT,11,10627602054514,kBinance,11,kLead,entry,2,kEntrySubmit,kLong,288230376151711774,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,1.0546,1.0548,1.0548,0.0001,2,2,94,94,0,94,94,0,0,0,1.0,,kNone,,,,,,0.00016,,,5992161,1779718140009557812,1779718140015549973,1779718140021545495,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711775,t-288230376151711775,32,144115188075855904,175640389419780315,SUI_USDT,11,10627602101737,kBinance,11,kLead,entry,3,kEntrySubmit,kShort,288230376151711775,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,1.0553,1.0551,1.0551,0.0001,2,2,94,94,0,94,94,0,0,0,1.0,,kNone,,,,,,0.00016,,,5370158,1779718140430177880,1779718140435548038,1779718140447543138,submitted_v1,
